role,com_name,experience,salary,location
Data Scientist Intern,Pivotchain,Not Provided,Unpaid,Pune
Data Scientist Intern,Codemaya,Not Provided,"20,000/month",Lucknow
Data Scientist Intern,Clustor Computing,Not Provided,Unpaid,Nagpur
Data Scientist Intern,Point Perfect Transcription Services,Not Provided,Unpaid,Coimbatore
Data Scientist Intern,rigbot.com,Not Provided,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Intern,TechVantage,Not Provided,Unpaid,Thiruvananthapuram
Data Scientist Intern,Dendrite,Not Provided,Unpaid,Pune
Data Scientist Intern,SoulPage IT,Not Provided,Unpaid,Hyderabad
Data Scientist Intern,ARP Investments,Not Provided,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Intern,Krayo,Not Provided,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Intern,Aichunks,Not Provided,Unpaid,Chandigarh
Data Scientist Intern,IOTA Academy,Not Provided,Unpaid,Remote
Data Scientist Intern,Keyloop,Not Provided,Unpaid,Hyderabad
Data Scientist Intern,Saveo,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Datacrew Education Group Id,Not Provided,Unpaid,Chennai
Data Scientist Intern,Stylumia,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Yoshops,Not Provided,Unpaid,Chennai
Data Scientist Intern,Curem Biotech,Not Provided,Unpaid,Pune
Data Scientist Intern,Aera Software Technology,Not Provided,Unpaid,Pune
Data Scientist Intern,Nanobi Data & Analytics,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Meesho,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Mactores Cognition,Not Provided,Unpaid,Mumbai
Data Scientist Intern,Bayer Zydus Pharma,Not Provided,Unpaid,Thane
Data Scientist Intern,Wahy Lab Solutions,Not Provided,Unpaid,Ernakulam
Data Scientist Intern,Aryavart Institute Of Technology,Not Provided,Unpaid,"Patna, Kanpur, New Delhi, Supaul"
Data Scientist Intern,Slash Mark,Not Provided,Unpaid,Remote
Data Scientist Intern,Krishna Technologies,Not Provided,Unpaid,Bengaluru
